epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,spike_rate,spike_rate_layer_1,spike_rate_layer_2,spike_rate_layer_3,spike_rate_layer_4,spike_rate_layer_5,spike_rate_layer_6,spike_rate_layer_7,spike_rate_layer_8,avg_spike_rate
21,1.7908935703620779,0.5451529140219273,1.621535167231688,0.5970737197523917,0.5970737197523917,0.810917276308385,"[0.035533073357828154, 0.05162771615701365, 0.03091370074760909, 0.0403292750651459, 0.028772978709155798, 0.029509759549430286, 0.026376638765466066, 0.21375668790521987]",0.035533073357828154,0.05162771615701365,0.03091370074760909,0.0403292750651459,0.028772978709155798,0.029509759549430286,0.026376638765466066,0.21375668790521987,0.0571024787821086
22,1.7239019752511242,0.5603000577034045,1.518324300335645,0.6117051209904333,0.6117051209904333,0.814856499718627,"[0.0358392202574581, 0.05298744095737081, 0.03084500185558975, 0.0400164312720936, 0.028637509632167248, 0.028645373697711907, 0.025746486306894606, 0.21693270801385403]",0.0358392202574581,0.05298744095737081,0.03084500185558975,0.0400164312720936,0.028637509632167248,0.028645373697711907,0.025746486306894606,0.21693270801385403,0.0574562714991425
23,1.6434379794055891,0.5910271206001154,1.563470686664763,0.6117051209904333,0.6117051209904333,0.8120427687113112,"[0.03687954360314647, 0.052715306354193345, 0.030927967158064205, 0.04010794985035136, 0.02807508228301067, 0.02745301621999623, 0.02507575006662648, 0.21894027489700219]",0.03687954360314647,0.052715306354193345,0.030927967158064205,0.04010794985035136,0.02807508228301067,0.02745301621999623,0.02507575006662648,0.21894027489700219,0.05752186130404887
24,1.5846592642994213,0.5952106174264281,1.5479439691673846,0.6207090602138435,0.6207090602138435,0.8058525604952167,"[0.037670324729454356, 0.054339511491807324, 0.030289488246874833, 0.04029639616773997, 0.02769952836512834, 0.026200665221978094, 0.024519793455205146, 0.2211101842454061]",0.037670324729454356,0.054339511491807324,0.030289488246874833,0.04029639616773997,0.02769952836512834,0.026200665221978094,0.024519793455205146,0.2211101842454061,0.05776573649044926
25,1.5499965935567397,0.6060300057703405,1.4463405541014844,0.6246482836240855,0.6246482836240855,0.8300506471581317,"[0.03838240197997431, 0.053245901672684025, 0.030739501921836984, 0.039948486109108755, 0.027252834133806695, 0.025294517892279742, 0.02406445425136966, 0.22286626930392836]",0.03838240197997431,0.053245901672684025,0.030739501921836984,0.039948486109108755,0.027252834133806695,0.025294517892279742,0.02406445425136966,0.22286626930392836,0.057724295908123564
26,1.4557416153064098,0.6252163877668783,1.4148020411344588,0.6449071468767585,0.6449071468767585,0.8384918401800788,"[0.03856192300670951, 0.05336206745110389, 0.031014028537868728, 0.04023677141403948, 0.0270052685770442, 0.0244889009325112, 0.023906295908096963, 0.22507227299760135]",0.03856192300670951,0.05336206745110389,0.031014028537868728,0.04023677141403948,0.0270052685770442,0.0244889009325112,0.023906295908096963,0.22507227299760135,0.05795594110312191
27,1.4108492218499364,0.6400750144258511,1.4683850607479767,0.6280247608328644,0.6280247608328644,0.8289251547552055,"[0.039356073104686966, 0.05499542633425578, 0.030937711820073144, 0.04011470948673587, 0.026653830020372964, 0.023407015444985645, 0.02338181791558537, 0.22707667102742382]",0.039356073104686966,0.05499542633425578,0.030937711820073144,0.04011470948673587,0.026653830020372964,0.023407015444985645,0.02338181791558537,0.22707667102742382,0.05824040689426495
28,1.3640456392140812,0.6524812463935372,1.3226104798930856,0.6617895329206528,0.6617895329206528,0.8458075407990996,"[0.04108982733941975, 0.05645319226929939, 0.03096059210082793, 0.03992907948982632, 0.02633095261451563, 0.022615860517070593, 0.022735390609981747, 0.22821085752775358]",0.04108982733941975,0.05645319226929939,0.03096059210082793,0.03992907948982632,0.02633095261451563,0.022615860517070593,0.022735390609981747,0.22821085752775358,0.05854071905858686
29,1.2503383013891376,0.6820542412002308,1.4070672202524375,0.6567248171074845,0.6567248171074845,0.8418683173888576,"[0.042654447453937344, 0.05761121901315335, 0.031588783731851235, 0.04064188490704697, 0.026374791177890503, 0.021880352005197425, 0.022706374303425664, 0.23058226109767657]",0.042654447453937344,0.05761121901315335,0.031588783731851235,0.04064188490704697,0.026374791177890503,0.021880352005197425,0.022706374303425664,0.23058226109767657,0.05925501421127238
30,1.2732610244651978,0.678736295441431,1.314309972881302,0.6842993809791784,0.6842993809791784,0.8458075407990996,"[0.042611890976093636, 0.05615956075504481, 0.03177480232629545, 0.040244505860793395, 0.026101608049706636, 0.021234739909639238, 0.02234282364628114, 0.23156488739170478]",0.042611890976093636,0.05615956075504481,0.03177480232629545,0.040244505860793395,0.026101608049706636,0.021234739909639238,0.02234282364628114,0.23156488739170478,0.05900435236444489
