epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
21,2.596661298195246,0.38935372186959033,2.1054937165280627,0.4991558806978053,0.4991558806978053,0.7281935846933033,0.022293555103630992,0.035982191261240325,0.02868977282625673,0.03805316907025608,0.03307965542918367,0.029066713689186976,0.03088963116649848,0.17153377040572254,0.048698557368996975
22,2.577333553714598,0.3801211771494518,2.0190201421088703,0.5160382667416995,0.5160382667416995,0.7400112549240293,0.023547766026196182,0.03617665905699668,0.029295460509145808,0.038158015605309396,0.03234378950826932,0.028826008150342655,0.030514721412601357,0.17394963349296366,0.04910150672022813
23,2.552121761898406,0.3928159261396422,2.0334408515771942,0.5087225661226786,0.5087225661226786,0.731007315700619,0.025962622820182704,0.037581843980613705,0.028880109859422375,0.038316011999758384,0.03235828076600239,0.028321880671100613,0.030289718661528787,0.1769318495836391,0.04983028979278101
24,2.43877507686065,0.4205135603000577,1.946125376685585,0.5267304445694991,0.5267304445694991,0.7552054023635341,0.02835356439784943,0.03819673667971924,0.029205598883241993,0.038309632346266415,0.032010859423809386,0.027943216436982825,0.030132780381398352,0.17939794193147962,0.05044379131009341
25,2.419977326706619,0.4241200230813618,1.9238637657042577,0.5402363534046145,0.5402363534046145,0.7602701181767023,0.030964314345827863,0.038211906094477555,0.029439759580983802,0.03847888392702194,0.031909097556378545,0.027445320555249734,0.029938486563297322,0.18194435484685728,0.05104151543376176
26,2.3213022797440437,0.4492210040392383,1.8910355912062085,0.5368598761958356,0.5368598761958356,0.7749015194147439,0.03320012621806453,0.040245051128004916,0.02936448104228077,0.03825655499170322,0.031663638780211306,0.026894196795007295,0.029849456768976528,0.18454893059050714,0.05175280453934446
27,2.3224911585261117,0.4552798615118292,1.8949710111313336,0.5267304445694991,0.5267304445694991,0.7546426561620709,0.03427102189595885,0.04105911937874791,0.02934947736030349,0.03826690591175535,0.031146664329620256,0.02639635808506782,0.029396037342772508,0.18655189864284027,0.052054685368383306
28,2.289124978317384,0.4525389497980381,1.8641722799015688,0.5453010692177828,0.5453010692177828,0.7698368036015757,0.03705743877263089,0.04003537950063942,0.028861480497785308,0.038044915513097285,0.030985137074409766,0.0257655818992941,0.029210686558491537,0.18836013256893105,0.05229009404815992
29,2.221916462723359,0.47013848817080206,1.8373931510198545,0.5436128306133934,0.5436128306133934,0.7664603263927968,0.040580256086192514,0.03876840137607328,0.029488448807917053,0.03812596123135729,0.03094029211680495,0.025279014096482238,0.029070728983716917,0.19049960945691782,0.05284408901943276
30,2.158001738023593,0.4899019042123485,1.7216783055342366,0.5694991558806978,0.5694991558806978,0.7945976364659538,0.04349014367616856,0.040142390615738766,0.029374507880749707,0.03790138497996901,0.0303455936794142,0.024998663971980837,0.02856746804113803,0.1923463990166588,0.05339581898272724
