epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,firing_rate_layer_9,firing_rate_layer_10,firing_rate_layer_11,firing_rate_layer_12,firing_rate_layer_13,firing_rate_layer_14,firing_rate_layer_15,firing_rate_layer_16,firing_rate_layer_17,avg_firing_rate
39,1.0315442915915618,0.7357184073860358,1.97076350635945,0.558244231851435,0.558244231851435,0.7799662352279122,0.10198579859706074,0.046606433894807536,0.1471844440842994,0.05102899335797414,0.13093625850743473,0.027843630107628897,0.14419656405949394,0.01745510239914626,0.12178987327056484,0.009269200273313597,0.13538041718690869,0.011158160613344894,0.13263577801133516,0.0018297895455717894,0.07483322389948054,0.0009670692276652163,0.09710944733405194,0.07365942261000484
40,1.011020612646208,0.7397576457010964,1.8783917257952767,0.5734383792909398,0.5734383792909398,0.7917839054586382,0.09888244309914831,0.045289560073799764,0.14596987837601144,0.05016116680158463,0.1283647815963938,0.02679056053205622,0.14088121911371188,0.01680138580251868,0.11988573518728847,0.008859206994924578,0.13389256016468384,0.01088742899647221,0.1315167322565802,0.0018426488152562274,0.07438070180644349,0.000960623401259056,0.09713167940731562,0.07249990073090873
41,0.9772219881501303,0.7422100403923831,1.9677395553374037,0.554305008441193,0.554305008441193,0.7703995498030388,0.09770987495281572,0.0437407378204416,0.14450303172295204,0.04894670884639467,0.12386999385442148,0.0254619023104165,0.14000706759566112,0.016419724351119564,0.11702704859714888,0.008945930199364627,0.13326353048920767,0.010742874409500693,0.12963547245716428,0.0018790772821938976,0.07499334922711334,0.0009881632275784869,0.09815259482483832,0.07154629895107839
42,0.842181483629528,0.7890940565493364,1.7690398527973337,0.5976364659538548,0.5976364659538548,0.7968486212718064,0.09719149147350487,0.04305491571745385,0.14312501343063827,0.0471697932818632,0.12136667665175777,0.02522512836302296,0.13852219551904796,0.01622959704547603,0.11804619051043416,0.008401901394713166,0.13179316792383605,0.010489388128190438,0.12811889459242584,0.0018479271771036077,0.07553887786337254,0.0009735365254931246,0.09846195146149284,0.07091509688587216
43,0.7696627284450652,0.8078476630121177,1.7982925844927957,0.5981992121553179,0.5981992121553179,0.8002250984805852,0.09580928364702017,0.042933896217654144,0.14382690673880918,0.04424638918664351,0.1216264514857097,0.02451065705859261,0.13844712324483469,0.0162069402956495,0.11766786630315891,0.008545935827693031,0.1318673031552853,0.010452975412828561,0.12827185924490422,0.0018327160827566293,0.07654645636007443,0.0009880885175905139,0.09933312967161816,0.07077141049710725
44,0.7365911617711822,0.81866705135603,1.7941839016781862,0.5813168261114238,0.5813168261114238,0.8058525604952167,0.09507099096612814,0.04152193244353295,0.14312680755932033,0.043693512154285456,0.12145467115796002,0.02421014004787634,0.1359990903332985,0.016405346880322105,0.11618228687959548,0.008713123097139246,0.13069120950489857,0.01040135384705927,0.12798624529283065,0.0018062080286503394,0.07613052649756478,0.0009659951285919932,0.10021309523708977,0.07026897265036143
45,0.7243721029681456,0.819532602423543,1.7435003707515317,0.6004501969611705,0.6004501969611705,0.7957231288688801,0.09503074360003803,0.04170643740459295,0.1430370591723521,0.04341143017409172,0.12044059976711961,0.024137951609997616,0.13536603118034093,0.01651197721663918,0.11539430246496155,0.00863009139328266,0.12972756439701782,0.0104030076305209,0.126804111661108,0.0018243434602414036,0.07663179355784143,0.0009590329320923002,0.10002047053670392,0.07000217342111423
46,0.6900781515079111,0.8273225620311598,1.7768531439140973,0.5959482273494654,0.5959482273494654,0.8036015756893641,0.09377369879576304,0.04045732173677684,0.14101192696559242,0.04420486118004262,0.12003831690707989,0.023852188193949287,0.1350196678443213,0.01591504051886079,0.11462408989771007,0.008385070703983845,0.12825098127917287,0.010168870048126957,0.12531678205267927,0.0018177329022716613,0.07746229899933323,0.0009537248270459383,0.10075992623827443,0.06953014700535201
47,0.6727048491988215,0.8351125216387767,1.824585667222471,0.5813168261114238,0.5813168261114238,0.803038829487901,0.0926272051062138,0.039818542121878416,0.138564657906485,0.042669749606439406,0.11917264485166695,0.023532687212494127,0.1340162364779322,0.015768939043548837,0.11405039819191615,0.00848078885017932,0.12797862381808622,0.010143195771566043,0.12492553218150768,0.0018571531126380925,0.07757196023802443,0.0009687044876257029,0.10128407813823488,0.06902535865390808
48,0.664030292506449,0.8352567801500288,1.7866766193668637,0.5987619583567811,0.5987619583567811,0.8086662915025323,0.09309690666858707,0.03958214290139304,0.13747506921541602,0.04209481983998792,0.11744739476372239,0.02308609926164354,0.13032380166763247,0.01512988091615107,0.11416533462454008,0.008454640090396795,0.1270062676048059,0.01016523644998412,0.12415979647168922,0.0018912714657898988,0.0775356371922477,0.0009422455361970161,0.10069638658147385,0.06842664301480342
49,0.6522909729486931,0.8387189844200807,1.7704774684882452,0.6004501969611705,0.6004501969611705,0.8137310073157006,0.09173595074276328,0.03886596004305688,0.13767332173823774,0.04128662374467859,0.11749517027207029,0.02274970119524715,0.1263792777583948,0.014818313075046906,0.1114473889140796,0.008475065660311684,0.12631307032144057,0.010035579773793988,0.1235287578543164,0.0018918956329803274,0.07764146076629179,0.0009770934777001334,0.1018954216980192,0.06783588545108409
50,0.623620045441176,0.84333525678015,1.7934762518665015,0.5891952729319077,0.5891952729319077,0.7957231288688801,0.09139580062241422,0.038887235648079284,0.1381062303034904,0.04274695216028198,0.1169261418466888,0.02287062366665991,0.12682548025762594,0.014662948837192265,0.11157941072457386,0.008248566712200154,0.12495145302742826,0.010060613383608846,0.1227391608391116,0.0018821679349589103,0.0775101105757101,0.0010151775320508488,0.10229296771162805,0.0678059436343355
